区域,地址,标题,户型,面积,价格,楼层,建造时间,朝向,更新时间,看房人数,备注,链接地址
看丹桥租房,新华街七里,低楼层带电梯两居室，交通便利，家电齐全,2室1厅,65平米,4500,低楼层(共24层),2000年建塔楼,西北,2017.07.22,27, 距离9号线丰台南路站924米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101762732.html
朝阳门内租房,朝阳首府,商品房  24小时保安 刷卡进出 ,2室2厅,104平米,14500,高楼层(共15层),2009年建塔楼,东 东北,2017.07.26,34, 距离2号线朝阳门站94米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101755036.html
双井租房,富力城B区,顶层大复式，带私人70平大露台，豪华装修，随时能看,4室1厅,253平米,32000,高楼层(共18层),2004年建板塔结合,南 北,2017.07.24,18, 距离10号线双井站498米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101751322.html
刘家窑租房,石榴园南里小区,石榴园南里简装一居室，朝南采光好,1室1厅,47平米,3700,高楼层(共6层),1997年建板楼,南,2017.07.26,23, 距离10号线石榴庄站752米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101807363.html
紫竹桥租房,北洼西里,北洼路北洼西里精装修两居出租随时看房,2室1厅,74平米,7000,中楼层(共18层),1996年建塔楼,东南,2017.07.27,27, 距离6号线慈寿寺站1166米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101827666.html
甘家口租房,建设部大院,建设部大院  乙子区铁道部2001年楼龄  高楼层  精装修,3室1厅,100平米,13000,中楼层(共24层),2000年建塔楼,西 北,2017.07.26,24, 距离6号线白石桥南站732米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101819163.html
北苑租房,新街坊,地铁5号线、精装修一改二，看房方便,2室1厅,57平米,5500,低楼层(共18层),2004年建板塔结合,东,2017.07.27,19, 距离5号线北苑路北站1130米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101822606.html
四季青租房,绿波漫板,绿波漫板 东北向开间 带燃气 带家具家电 舒适宜人,1室0厅,43平米,5200,中楼层(共6层),2004年建板楼,东 北,2017.07.20,41, 距离6号线慈寿寺站667米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101811584.html
望京租房,宝星园一区,大四居室   低于市场价  可办公 可居家,4室2厅,217平米,15000,低楼层(共23层),2003年建塔楼,南,2017.07.23,32, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101603861.html
望京租房,融科橄榄城三期,融科两居室，精装家具家电齐全，随时入住，采光好,2室1厅,95平米,12000,低楼层(共27层),2009年建板楼,南,2017.07.19,32, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101641236.html
酒仙桥租房,卡布其诺,全南两居 东西通透 直观小区花园 观景房,2室1厅,90平米,8800,中楼层(共9层),2005年建板楼,南,2017.07.27,50, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101712757.html
官园租房,官苑8号,官苑8号 精装西南三居可以长租，看房随时,3室2厅,121平米,21500,中楼层(共16层),2007年建板塔结合,南 西,2017.07.25,61, 距离2号线车公庄站773米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101583407.html
北大地租房,西安街4号院,精装三改二大两居 南北通透 希望客户能把它当自己的家,2室1厅,83平米,4500,高楼层(共6层),1989年建板楼,南 北,2017.07.22,27, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101601709.html
回龙观租房,佰嘉城,佰嘉城一层三居室 户型方正 南北通透,3室1厅,119平米,6300,低楼层(共6层),2006年建板楼,南 北,2017.07.22,25, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101726428.html
广安门租房,朗琴园,广安门朗琴园精装开间 随时入住 交通方便,1室0厅,58平米,5600,中楼层(共29层),2006年建塔楼,西,2017.07.25,30, 距离7号线达官营站731米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101692994.html
鼓楼大街租房,金隅万科城,金隅万科城 三居室 家具家电齐全 诚意出租,3室1厅,88平米,4800,低楼层(共26层),2012年建板塔结合,南 北,2017.07.26,31, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101612398.html
紫竹桥租房,西三环北路89号院,花园桥 南北两居 家具家电齐全 拎包入住,2室1厅,54平米,6000,高楼层(共6层),1987年建板楼,南 北,2017.07.26,31, 距离6号线花园桥站620米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101567440.html
六里桥租房,京铁家园,地铁1号线五棵松站 京铁家园精装两居室 东南向 有钥匙,2室1厅,107平米,6000,中楼层(共22层),2002年建塔楼,东南,2017.07.22,32, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101647855.html
广安门租房,朗琴园,广安门朗琴园精装开间 随时入住 交通方便,1室0厅,58平米,5600,中楼层(共29层),2006年建塔楼,西,2017.07.25,30, 距离7号线达官营站731米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101692994.html
天宁寺租房,白菜湾社区,精装修2居价钱可聊随时拎包入住,2室1厅,59平米,5100,中楼层(共6层),1992年建板楼,南 北,2017.07.14,34, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101749057.html
大望路租房,后现代城,后现代城 经典开间 拎包入住 温馨舒适,1室0厅,64平米,6100,中楼层(共27层),2007年建塔楼,西,2017.07.24,29, 距离7号线大郊亭站743米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101749472.html
六里桥租房,国际,澐澐国际西南三居 全天采光 大厅大卧适合居住办公,3室2厅,150平米,11000,低楼层(共26层),2008年建塔楼,西南,2017.07.24,19, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101786854.html
双井租房,首城国际,首城全南两居，豪华装修，超大次卧20平，随时看,2室1厅,88平米,9300,低楼层(共28层),2010年建板塔结合,南,2017.07.27,22, 距离10号线双井站1086米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101765009.html
天通苑租房,天通苑本四区,天通苑本四区正规  一居室  诚心出售 ,1室1厅,65平米,4200,中楼层(共6层),2000年建板楼,南 北,2017.07.26,31, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101770252.html
草桥租房,恋日花都,草桥恋日花都  2居室  南北  看房方便,2室1厅,105平米,7500,低楼层(共19层),2006年建板楼,南 北,2017.07.22,21, 距离10号线草桥站183米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101771924.html
紫竹桥租房,车道沟10号院,车道沟10号院 南北通透 简单装修空房两居室 长租,2室1厅,60平米,6500,高楼层(共5层),1986年建板楼,南 北,2017.07.22,19, 距离10号线车道沟站916米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101771995.html
酒仙桥租房,晶都国际,晶都国际，拎包入住，交通便利，房间采光好,1室0厅,49平米,5200,中楼层(共21层),2006年建板塔结合,东南,2017.07.15,31, 距离14号线(东段)将台站512米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101746081.html
管庄租房,北京新天地,北京新天地精装一居室  拎包入住  随时看房,2室1厅,100平米,5400,高楼层(共28层),2004年建板塔结合,西南,2017.07.25,23, 距离八通线管庄站837米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101764309.html
赵公口租房,彩虹城三区,南北两居  观景楼层   有钥匙随时可看,2室1厅,93平米,6200,高楼层(共16层),2005年建板塔结合,南 北,2017.07.15,30, 距离10号线石榴庄站1157米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101766002.html
梨园租房,时尚街区西区,时尚街区西区精装三居 家具家电齐,3室1厅,93平米,4500,高楼层(共20层),2003年建塔楼,西南,2017.07.24,15, 距离八通线梨园站702米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101770603.html
鲁谷租房,七星园,房子配套齐全交通方便是一个优质房源,2室1厅,59平米,4500,低楼层(共6层),1999年建板楼,南 北,2017.07.24,44, 距离1号线八角游乐园站990米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101773115.html
望京租房,花家地小区,花家地小区干净低楼层南北通透两居,2室1厅,55平米,5600,低楼层(共6层),1993年建板楼,南 北,2017.07.25,22, 距离14号线(东段)阜通站1110米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101776035.html
望京租房,花家地西里一区,花家地西里南北通透两居室，拎包入住。,2室1厅,65平米,5800,中楼层(共6层),1995年建板楼,南 北,2017.07.23,23, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101777150.html
广安门租房,荣丰2008,荣丰二期北向复试 楼上隔成了两居室 可放两个单人床 ,2室1厅,28平米,4800,高楼层(共20层),2004年建塔楼,北,2017.07.21,39, 距离7号线达官营站888米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101777487.html
回龙观租房,龙华园,龙华园一居室，集中供暖 随时入住,1室1厅,59平米,4000,低楼层(共6层),1996年建板楼,南 北,2017.07.20,51, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101745773.html
安定门租房,安德路乙61号院,北二环边上 电梯直达 经典户型 临地铁 出行方便,2室1厅,61平米,6800,中楼层(共14层),1989年建塔楼,东北,2017.07.27,30, 距离2号线鼓楼大街站346米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101746197.html
广安门租房,车站西街13号院,车站西街13号院正规一居室有钥匙随时看房,1室1厅,40平米,3700,高楼层(共6层),1994年建板楼,南,2017.07.24,32, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101746226.html
方庄租房,芳古园一区,芳古园一区  南北两居室  诚心出租,2室1厅,56平米,5500,高楼层(共6层),1991年建板楼,南 北,2017.07.25,30, 距离5号线蒲黄榆站766米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101746836.html
西罗园租房,西罗园三区,西罗园三区 1室1厅 3900元,1室1厅,64平米,3900,中楼层(共26层),1998年建塔楼,南,2017.07.25,28, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101780695.html
定慧寺租房,岭南路38号院,岭南路上 业主诚租 双东向带电梯两居室,2室1厅,54平米,5800,低楼层(共16层),1992年建塔楼,东,2017.07.27,20, 距离10号线西钓鱼台站770米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101789883.html
朝阳门内租房,豆瓣胡同,朝阳门  精装修两居室 带电梯带花园,2室1厅,71平米,7900,低楼层(共21层),2003年建板楼,南,2017.07.25,39, 距离2号线朝阳门站625米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101791221.html
鲁谷租房,远洋山水,改好的两室一厅 带一个地下车位 也可单租 看房随时,2室1厅,76平米,7000,低楼层(共26层),2007年建板塔结合,东南,2017.07.22,31, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101796387.html
上地租房,当代城市家园,当代朝北正规一居室，随时看房。,1室1厅,54平米,4600,低楼层(共12层),2002年建板塔结合,北,2017.07.27,43, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101762525.html
马甸租房,裕中西里,裕中西里 双朝南 两居室 业主长租,2室1厅,56平米,5800,高楼层(共6层),1981年建板楼,南,2017.07.22,23, 距离8号线安华桥站738米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101767828.html
阜成门租房,百万庄子区,车公庄 百万庄子区 前后20平米的小院 精装修 拎包入住,3室1厅,73平米,10000,低楼层(共3层),1956年建板楼,东北,2017.07.17,22, 距离6号线车公庄西站795米 随时看房 精装修,https://bj.lianjia.com/zufang/101101798037.html
紫竹桥租房,北洼路32号院,精装 东南大三居 可长租 拎包入住 随时看房,3室1厅,99平米,9000,高楼层(共15层),1994年建板塔结合,东南,2017.07.26,26, 距离6号线花园桥站617米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101798486.html
东直门租房,后永康胡同2号院4号院,雍和宫 簋街 朝南两居室出租 低楼层 看房随时,2室1厅,47平米,6300,低楼层(共5层),1990年建板楼,南,2017.07.26,18, 距离5号线北新桥站1037米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101755488.html
牛街租房,枣林前街,有电梯 南北通透两居室 有家具家电 可以长租,2室1厅,64平米,5800,中楼层(共16层),1989年建塔楼,南 北,2017.07.25,24, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101757774.html
望京租房,花家地西里一区,花家地西里南北通透两居室，拎包入住。,2室1厅,65平米,5800,中楼层(共6层),1995年建板楼,南 北,2017.07.23,23, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101777150.html
广安门租房,荣丰2008,荣丰二期北向复试 楼上隔成了两居室 可放两个单人床 ,2室1厅,28平米,4800,高楼层(共20层),2004年建塔楼,北,2017.07.21,39, 距离7号线达官营站888米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101777487.html
回龙观租房,龙华园,龙华园一居室，集中供暖 随时入住,1室1厅,59平米,4000,低楼层(共6层),1996年建板楼,南 北,2017.07.20,51, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101745773.html
安定门租房,安德路乙61号院,北二环边上 电梯直达 经典户型 临地铁 出行方便,2室1厅,61平米,6800,中楼层(共14层),1989年建塔楼,东北,2017.07.27,30, 距离2号线鼓楼大街站346米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101746197.html
广安门租房,车站西街13号院,车站西街13号院正规一居室有钥匙随时看房,1室1厅,40平米,3700,高楼层(共6层),1994年建板楼,南,2017.07.24,32, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101746226.html
方庄租房,芳古园一区,芳古园一区  南北两居室  诚心出租,2室1厅,56平米,5500,高楼层(共6层),1991年建板楼,南 北,2017.07.25,30, 距离5号线蒲黄榆站766米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101746836.html
马甸租房,裕中西里,裕中西里 双朝南 两居室 业主长租,2室1厅,56平米,5800,高楼层(共6层),1981年建板楼,南,2017.07.22,23, 距离8号线安华桥站738米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101767828.html
上地租房,当代城市家园,当代朝北正规一居室，随时看房。,1室1厅,54平米,4600,低楼层(共12层),2002年建板塔结合,北,2017.07.27,43, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101762525.html
上地租房,当代城市家园, 当代精装一居，朝北的采光无影响，看房随时.......,1室1厅,54平米,4600,低楼层(共12层),2002年建板塔结合,北,2017.07.27,37, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101798050.html
西三旗租房,新康园,新康园塔楼两居室 电梯房 业主诚心出租,2室1厅,91平米,5200,高楼层(共24层),2003年建塔楼,北,2017.07.26,23, 距离8号线育新站801米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101784888.html
昌平其它租房,保利罗兰香谷,保利罗兰香谷一期 纯南向两居室,2室1厅,85平米,3500,中楼层(共14层),2012年建板楼,南,2017.07.27,28, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101768073.html
双井租房,富力城D区,富力城D区  质感三居  现对外出租！带车位！,3室1厅,127平米,16500,中楼层(共11层),2007年建板塔结合,西南,2017.07.27,23, 距离7号线广渠门外站87米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101793690.html
西罗园租房,西罗园三区,西罗园三区 1室1厅 3900元,1室1厅,64平米,3900,中楼层(共26层),1998年建塔楼,南,2017.07.25,28, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101780695.html
紫竹桥租房,北洼路32号院,精装 东南大三居 可长租 拎包入住 随时看房,3室1厅,99平米,9000,高楼层(共15层),1994年建板塔结合,东南,2017.07.26,26, 距离6号线花园桥站617米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101798486.html
卢沟桥租房,晓月苑二里,晓月苑二里三层南北通透家具家电齐全的两居,2室1厅,69平米,3100,中楼层(共6层),1997年建板楼,南 北,2017.07.27,22, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101768159.html
东坝租房,首开常青藤三期,中间位置，南北通透，毛坯房，出租,3室2厅,87平米,6000,中楼层(共6层),2013年建板楼,南 北,2017.07.17,19, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101788721.html
天宁寺租房,广安苑二期,精装修2居室带电梯优质好房速来围观,2室1厅,91平米,7300,高楼层(共23层),2002年建塔楼,西南,2017.07.27,26, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101747177.html
清河租房,莱圳家园,莱圳家园 两居室改三居 有钥匙 看房随时 可合租,3室1厅,97平米,6800,中楼层(共19层),2007年建板楼,南 北,2017.07.20,28, 距离8号线西小口站601米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101768995.html
天通苑租房,天通苑东二区,板楼二层，南北通透，家具家电齐全，看房方便,2室1厅,91平米,4500,低楼层(共6层),2001年建板楼,南 北,2017.07.26,20, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101747998.html
角门租房,福海小区,地铁口 南北两居室 干净整洁 拎包入住,2室1厅,84平米,6000,中楼层(共14层),2004年建板楼,南 北,2017.07.26,22, 距离10号线角门东站364米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101793212.html
紫竹桥租房,机械研究院西区,白石桥南 机械研究院 精装修 紫竹院公园 交通便利,1室1厅,42平米,5200,中楼层(共6层),1999年建板楼,南,2017.07.24,45, 距离6号线白石桥南站642米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101800876.html
梨园租房,云景里白瓷砖,精装修，楼层适中，采光充足，交通购业务便利,3室1厅,116平米,4200,中楼层(共6层),1998年建板楼,南 北,2017.07.21,9, 距离八通线梨园站1037米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101812143.html
回龙观租房,风雅园三区,风雅园三区经典大三居，带阁楼，交通方便,3室1厅,116平米,6100,高楼层(共6层),2000年建板楼,南 北,2017.07.25,9, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101838630.html
双桥租房,双惠小区,眼镜户型 三面朝南 房子挺好的 双桥 双惠小区,3室1厅,103平米,5800,高楼层(共6层),2005年建板楼,南 北,2017.07.24,10, 距离八通线双桥站824米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101822986.html
临河里租房,DBC加州小镇C区,全南向一居室 明厨明卫 家具电器床衣柜齐全 ,1室1厅,58平米,2900,高楼层(共18层),2010年建板楼,南,2017.07.19,12, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101811781.html
回龙观租房,首开国风美唐二期,首开国风美唐二期 南北通透大两居  精装修,2室2厅,96平米,7600,高楼层(共16层),2014年建板塔结合,南 北,2017.07.22,13, 距离8号线回龙观东大街站217米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101813416.html
陶然亭租房,畅柳园,畅柳园南北通透两居是有钥匙看房随时,2室1厅,65平米,6500,中楼层(共14层),2004年建板塔结合,南 北,2017.07.23,11, 距离7号线虎坊桥站893米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101840008.html
乔庄租房,阳光好东东,阳光好东东 好房出租 北运河西,1室1厅,65平米,2700,中楼层(共10层),2005年建板塔结合,南,2017.07.27,14, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101840043.html
潘家园租房,潘家园东里,潘家园东里电梯房西南向两居大客厅,2室1厅,74平米,5700,中楼层(共18层),1996年建塔楼,南,2017.07.24,13, 距离10号线潘家园站1075米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101837382.html
车公庄租房,新华里12号院,展览路 新华里 物业管理好 看房方便,2室1厅,71平米,10000,低楼层(共18层),2004年建塔楼,南,2017.07.24,14, 距离2号线车公庄站715米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101840306.html
甘家口租房,甘家口8号院,甘家口8号院 交通便利 精装修,3室1厅,99平米,10000,中楼层(共4层),1960年建板楼,东 西,2017.07.26,19, 距离9号线白堆子站858米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101708968.html
安定门租房,巷上嘉园,巷上嘉园，东南向大两居，空间大，采光好,2室2厅,99平米,12000,中楼层(共24层),2005年建板塔结合,东南,2017.07.27,13, 距离2号线鼓楼大街站810米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101789977.html
安定门租房,华府景园,华府景园   精装三居室    16800元/月,3室2厅,159平米,16800,低楼层(共16层),2001年建塔楼,南,2017.07.23,12, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101778561.html
奥林匹克公园租房,澳林春天二期,澳林春天二期精装大两居  拎包入住  看房随时,2室1厅,126平米,9200,低楼层(共24层),2000年建塔楼,东南,2017.07.19,13, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101758486.html
望京租房,宝星国际二期,此房办公居住均可，看房方便，业主诚意出租。,4室2厅,276平米,22000,高楼层(共25层),2006年建板塔结合,南 北,2017.07.21,12, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101764629.html
三元桥租房,凤凰城三期,凤凰城三期四居室 带家具家电 含车位 中高层观景好 ,4室2厅,229平米,27000,低楼层(共31层),2006年建板楼,南 北,2017.07.25,6, 距离机场线三元桥站727米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101777402.html
北苑租房,北京青年城,北京青年城精装三居室，新房出租，拎包入住,3室2厅,134平米,9000,低楼层(共6层),2003年建板楼,南 西 北,2017.07.21,11, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101770302.html
东坝租房,首开常青藤四期,首开常青藤 下跃上下两层，毛坯房,3室2厅,156平米,7000,低楼层(共6层),2013年建板楼,南 北,2017.07.27,12, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101758770.html
广渠门租房,绿景馨园,绿景馨园准四居复式板楼，带车位，随时可看,4室2厅,129平米,12000,高楼层(共5层),2003年建板楼,南 西 北,2017.07.21,3, 距离7号线广渠门内站1029米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101840223.html
广渠门租房,丽水湾畔家园,广渠门内大街丽水湾畔家园南北三居室两卫出租,3室1厅,139平米,10500,高楼层(共21层),2002年建塔楼,南 北,2017.07.23,1, 距离7号线广渠门外站699米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101848675.html
工体租房,东直门外大街,正规一居室 随时看房 带电梯 长期出租,1室1厅,39平米,5300,中楼层(共16层),1983年建塔楼,北,2017.07.25,22, 距离2号线东直门站882米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101813296.html
官园租房,冠英园小区,冠英园空房一居室 看房随时 新换马桶 新按空调,1室1厅,53平米,6740,中楼层(共10层),1998年建板塔结合,东,2017.07.26,25, 距离4号线新街口站382米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101814094.html
常营租房,万象新天天际高尔夫,常营万象新天天际高尔夫小区南北通透三居室全齐出租,3室1厅,162平米,10000,高楼层(共18层),2009年建板塔结合,南 北,2017.07.26,5, 距离6号线常营站1065米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101844842.html
望京租房,点击未来,望京点击未来精装公寓 十四号线,1室1厅,36平米,5000,中楼层(共14层),2004年建板塔结合,西南,2017.07.26,25, 距离14号线(东段)阜通站671米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101810166.html
四惠租房,东恒时代一期,东恒时代一期交通便利 带大阳台 拎包入住,1室1厅,59平米,6500,高楼层(共32层),2004年建塔楼,东,2017.07.19,18, 距离1号线四惠站74米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101811664.html
石佛营租房,炫特嘉园二期,精装西南一居室 视野开阔 随时看房 诚意出租,1室1厅,59平米,6000,高楼层(共24层),2004年建塔楼,西南,2017.07.20,20, 距离6号线十里堡站977米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833162.html
广安门租房,荣丰2008,荣丰2008一期精装小开间 温馨舒适 干净整洁,1室0厅,19平米,3100,低楼层(共26层),2006年建塔楼,西南,2017.07.21,29, 距离7号线达官营站870米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101810432.html
四季青租房,绿波漫板,绿波漫板 北向开间  带家具家电 明卫,1室0厅,47平米,5000,中楼层(共14层),2004年建板塔结合,北,2017.07.18,41, 距离6号线慈寿寺站823米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101811620.html
和平里租房,和平里五区,和平里五区低楼层一居室随时可看房拎包入住,1室1厅,40平米,4600,低楼层(共6层),1996年建板楼,东,2017.07.26,14, 距离5号线和平里北街站415米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101806866.html
酒仙桥租房,瞰都国际,朝阳公园 瞰都国际 南向一居室 有钥匙,1室1厅,79平米,8700,高楼层(共17层),2006年建塔楼,西南,2017.07.23,20, 距离14号线(东段)东风北桥站478米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101825144.html
