,学生id,助学金金额
142,444,2000
143,445,2000
144,446,2000
145,447,2000
146,452,2000
147,453,2000
148,454,2000
149,455,1000
150,460,2000
151,461,2000
152,462,2000
153,463,2000
154,466,1000
155,467,2000
156,468,2000
157,469,2000
158,474,2000
159,475,2000
160,478,2000
161,479,2000
162,484,2000
163,485,2000
164,486,1000
165,487,1000
166,488,1000
167,489,1000
168,498,2000
169,499,1000
170,500,2000
171,501,2000
172,502,2000
173,503,1000
174,512,2000
175,513,2000
176,526,2000
177,527,2000
178,544,1000
179,545,0
180,550,2000
181,551,2000
182,558,2000
183,559,2000
184,562,2000
185,563,2000
186,570,2000
187,571,2000
188,574,2000
189,575,2000
190,578,2000
191,579,1000
192,582,2000
193,583,2000
194,586,1000
195,587,2000
196,588,2000
197,589,2000
198,592,2000
199,593,2000
200,594,2000
201,595,1000
202,598,2000
203,599,2000
204,604,1000
205,605,2000
206,608,1000
207,609,1000
208,610,2000
209,611,2000
210,614,1000
211,615,1000
212,618,2000
213,619,2000
214,620,2000
215,621,2000
216,630,1000
217,631,2000
218,640,2000
219,641,2000
220,642,2000
221,643,2000
222,646,1000
223,647,2000
224,654,2000
225,655,2000
226,664,1000
227,665,1000
228,668,1000
229,669,2000
230,678,2000
231,679,2000
232,682,1000
233,683,1000
234,684,2000
235,685,2000
236,686,2000
237,687,2000
238,692,2000
239,693,2000
240,710,2000
241,711,2000
242,728,2000
243,729,2000
244,730,2000
245,731,2000
246,734,2000
247,735,2000
248,736,1000
249,737,1000
250,738,2000
251,739,2000
252,740,2000
253,741,2000
254,748,2000
255,749,2000
256,750,2000
257,751,2000
258,758,2000
259,759,2000
260,766,2000
261,767,2000
262,776,2000
263,777,2000
264,788,2000
265,789,2000
266,790,2000
267,791,2000
268,798,1000
269,799,2000
270,804,1000
271,805,2000
272,808,2000
273,809,2000
274,810,2000
275,811,1500
276,830,2000
277,831,1000
278,832,1500
279,833,2000
280,834,1000
281,835,2000
282,842,1500
283,843,2000
284,846,2000
285,847,2000
286,848,2000
287,849,2000
288,850,2000
289,851,2000
290,852,2000
291,853,2000
292,854,2000
293,855,2000
294,858,2000
295,859,2000
296,860,2000
297,861,2000
298,864,2000
299,865,2000
300,868,1500
301,869,2000
302,902,2000
303,903,1500
304,914,2000
305,915,2000
306,922,2000
307,923,2000
308,924,1000
309,925,2000
310,934,2000
311,935,2000
312,938,2000
313,939,2000
314,942,1000
315,943,2000
316,944,2000
317,945,1000
318,950,2000
319,951,2000
320,952,2000
321,953,1500
322,954,2000
323,955,2000
324,956,1000
325,957,1000
326,960,2000
327,961,2000
328,974,1000
329,975,2000
330,978,2000
331,979,2000
332,980,1000
333,981,2000
334,982,2000
335,983,2000
336,984,2000
337,985,2000
338,992,2000
339,993,2000
340,994,2000
341,995,2000
342,1000,2000
343,1001,2000
344,1008,2000
345,1009,2000
346,1022,2000
347,1023,2000
348,1026,2000
349,1027,1500
350,1038,2000
351,1039,2000
352,1044,2000
353,1045,2000
354,1046,2000
355,1047,2000
356,1048,2000
357,1049,2000
358,1052,2000
359,1053,2000
360,1058,2000
361,1059,2000
362,1060,1500
363,1061,2000
364,1062,2000
365,1063,2000
366,1064,2000
367,1065,2000
368,1066,1500
369,1067,2000
370,1068,2000
371,1069,2000
372,1074,2000
373,1075,2000
374,1078,2000
375,1079,2000
376,1080,2000
377,1081,2000
378,1088,2000
379,1089,2000
380,1092,2000
381,1093,2000
382,1096,2000
383,1097,2000
384,1120,2000
385,1121,2000
386,1128,2000
387,1129,2000
388,1130,2000
389,1131,2000
390,1134,2000
391,1135,2000
392,1140,2000
393,1141,2000
394,1144,2000
395,1145,1000
396,1150,2000
397,1151,2000
398,1152,2000
399,1153,2000
400,1156,2000
401,1157,1500
402,1166,1000
403,1167,2000
404,1168,2000
405,1169,2000
406,1176,2000
407,1177,2000
408,1198,2000
409,1199,2000
410,1204,2000
411,1205,2000
412,1206,1500
413,1207,2000
414,1208,2000
415,1209,2000
416,1210,2000
417,1211,2000
418,1212,2000
419,1213,2000
420,1214,2000
421,1215,1500
422,1216,2000
423,1217,2000
424,1220,2000
425,1221,2000
426,1224,2000
427,1225,2000
428,1232,2000
429,1233,2000
430,1240,2000
431,1241,2000
432,1246,2000
433,1247,2000
434,1252,2000
435,1253,2000
436,1256,1000
437,1257,2000
438,1268,2000
439,1269,2000
440,1270,2000
441,1271,2000
442,1272,2000
443,1273,2000
444,1282,2000
445,1283,2000
446,1284,2000
447,1285,2000
448,1288,1000
449,1289,2000
450,1290,2000
451,1291,2000
452,1304,1000
453,1305,2000
454,1306,2000
455,1307,2000
456,1318,2000
457,1319,2000
458,1320,2000
459,1321,2000
460,1324,2000
461,1325,2000
462,1326,2000
463,1327,2000
464,1350,1000
465,1351,1000
466,1352,2000
467,1353,2000
468,1354,1000
469,1355,1500
470,1358,2000
471,1359,2000
472,1364,2000
473,1365,2000
474,1372,2000
475,1373,2000
476,1392,2000
477,1393,2000
478,1396,2000
479,1397,2000
480,1414,2000
481,1415,2000
482,1434,1000
483,1435,2000
484,1440,2000
485,1441,2000
486,1448,2000
487,1449,2000
488,1452,2000
489,1453,2000
490,1460,2000
491,1461,2000
492,1464,2000
493,1465,2000
494,1476,2000
495,1477,2000
496,1478,2000
497,1479,2000
498,1480,1000
499,1481,2000
500,1486,2000
501,1487,2000
502,1488,2000
503,1489,2000
504,1494,1000
505,1495,2000
506,1504,2000
507,1505,2000
508,1518,2000
509,1519,2000
510,1520,2000
511,1521,2000
512,1524,2000
513,1525,2000
514,1532,2000
515,1533,2000
516,1534,2000
517,1535,2000
518,1548,2000
519,1549,2000
520,1552,2000
521,1553,2000
522,1554,2000
523,1555,2000
524,1564,2000
525,1565,2000
526,1568,2000
527,1569,2000
528,1570,2000
529,1571,1500
530,1576,1000
531,1577,2000
532,1580,1000
533,1581,1000
534,1592,2000
535,1593,2000
536,1628,2000
537,1629,2000
538,1634,2000
539,1635,2000
540,1640,2000
541,1641,1000
542,1660,2000
543,1661,2000
544,1662,2000
545,1663,2000
546,1664,2000
547,1665,2000
548,1666,2000
549,1667,2000
550,1674,2000
551,1675,2000
552,1682,2000
553,1683,2000
554,1686,2000
555,1687,2000
556,1696,2000
557,1697,2000
558,1714,2000
559,1715,2000
560,1720,2000
561,1721,2000
562,1724,2000
563,1725,2000
564,1732,2000
565,1733,2000
566,1734,2000
567,1735,2000
568,1742,2000
569,1743,2000
570,1744,2000
571,1745,2000
572,1748,2000
573,1749,2000
574,1754,2000
575,1755,2000
576,1756,2000
577,1757,1500
578,1758,2000
579,1759,2000
580,1760,2000
581,1761,2000
582,1780,2000
583,1781,2000
584,1788,2000
585,1789,2000
586,1790,2000
587,1791,2000
588,1792,2000
589,1793,2000
590,1796,2000
591,1797,2000
592,1798,2000
593,1799,2000
594,1800,2000
595,1801,2000
596,1804,2000
597,1805,2000
598,1822,2000
599,1823,2000
600,1824,2000
601,1825,2000
602,1828,2000
603,1829,2000
604,1836,2000
605,1837,2000
606,1844,2000
607,1845,2000
608,1856,2000
609,1857,2000
610,1862,2000
611,1863,2000
612,1866,2000
613,1867,2000
614,1868,2000
615,1869,2000
616,1876,2000
617,1877,2000
618,1878,1000
619,1879,2000
620,1880,2000
621,1881,2000
622,1886,1000
623,1887,2000
624,1890,1500
625,1891,2000
626,1892,1000
627,1893,2000
628,1900,2000
629,1901,1000
630,1904,2000
631,1905,1500
632,1910,2000
633,1911,2000
634,1914,1500
635,1915,2000
636,1926,2000
637,1927,2000
638,1928,2000
639,1929,2000
640,1938,1500
641,1939,2000
642,1942,2000
643,1943,2000
644,1944,2000
645,1945,2000
646,1946,2000
647,1947,2000
648,1948,2000
649,1949,2000
650,1954,2000
651,1955,2000
652,1964,2000
653,1965,2000
654,1966,2000
655,1967,2000
656,1972,2000
657,1973,2000
658,1974,2000
659,1975,2000
660,1994,2000
661,1995,2000
662,1996,2000
663,1997,2000
664,1998,2000
665,1999,2000
666,2004,2000
667,2005,2000
668,2006,2000
669,2007,2000
670,2018,2000
671,2019,2000
672,2030,2000
673,2031,2000
674,2032,2000
675,2033,1000
676,2034,2000
677,2035,2000
678,2048,2000
679,2049,2000
680,2052,2000
681,2053,2000
682,2056,2000
683,2057,2000
684,2070,2000
685,2071,2000
686,2076,2000
687,2077,2000
688,2094,2000
689,2095,1500
690,2096,2000
691,2097,2000
692,2126,2000
693,2127,2000
694,2128,2000
695,2129,2000
696,2130,2000
697,2131,2000
698,2138,1000
699,2139,2000
700,2156,2000
701,2157,1000
702,2164,2000
703,2165,2000
704,2168,2000
705,2169,2000
706,2178,1500
707,2179,2000
708,2180,2000
709,2181,2000
710,2196,2000
711,2197,2000
712,2206,2000
713,2207,2000
714,2214,2000
715,2215,2000
716,2224,2000
717,2225,2000
718,2228,2000
719,2229,2000
720,2230,2000
721,2231,2000
722,2236,2000
723,2237,2000
724,2246,2000
725,2247,2000
726,2248,2000
727,2249,2000
728,2264,2000
729,2265,2000
730,2266,2000
731,2267,1000
732,2272,2000
733,2273,2000
734,2298,2000
735,2299,2000
736,2310,2000
737,2311,2000
738,2314,2000
739,2315,2000
740,2318,2000
741,2319,2000
742,2348,2000
743,2349,1000
744,2354,2000
745,2355,2000
746,2358,1500
747,2359,2000
748,2362,2000
749,2363,2000
750,2366,2000
751,2367,2000
752,2368,2000
753,2369,2000
754,2372,2000
755,2373,1000
756,2374,2000
757,2375,2000
758,2380,2000
759,2381,2000
760,2382,2000
761,2383,2000
762,2384,1000
763,2385,1000
764,2390,2000
765,2391,2000
766,2402,1000
767,2403,0
768,2408,1000
769,2409,1000
770,2410,2000
771,2411,1000
772,2424,2000
773,2425,2000
774,2432,1000
775,2433,2000
776,2438,1000
777,2439,2000
778,2442,2000
779,2443,2000
780,2444,2000
781,2445,2000
782,2448,2000
783,2449,2000
784,2454,2000
785,2455,2000
786,2456,2000
787,2457,2000
788,2460,2000
789,2461,2000
790,2462,1000
791,2463,2000
792,2464,2000
793,2465,2000
794,2466,2000
795,2467,2000
796,2478,1000
797,2479,2000
798,2482,1500
799,2483,2000
800,2486,2000
801,2487,2000
802,2490,2000
803,2491,2000
804,2492,1000
805,2493,2000
806,2494,2000
807,2495,1000
808,2498,2000
809,2499,1500
810,2500,2000
811,2501,2000
812,2508,2000
813,2509,2000
814,2510,2000
815,2511,2000
816,2516,1000
817,2517,1000
818,2532,2000
819,2533,2000
820,2540,2000
821,2541,0
822,2550,2000
823,2551,2000
824,2556,2000
825,2557,2000
826,2562,2000
827,2563,2000
828,2570,2000
829,2571,2000
830,2572,1000
831,2573,2000
832,2576,2000
833,2577,2000
834,2580,2000
835,2581,1000
836,2582,2000
837,2583,1000
838,2584,2000
839,2585,0
840,2598,2000
841,2599,2000
842,2606,2000
843,2607,2000
844,2612,2000
845,2613,1000
846,2622,2000
847,2623,2000
848,2626,1000
849,2627,2000
850,2628,2000
851,2629,2000
852,2632,1000
853,2633,1000
854,2636,1000
855,2637,2000
856,2644,1000
857,2645,1000
858,2648,1000
859,2649,2000
860,2654,1000
861,2655,1000
862,2656,0
863,2657,0
864,2658,1000
865,2659,2000
866,2662,2000
867,2663,2000
868,2672,2000
869,2673,2000
870,2674,1000
871,2675,0
872,2678,2000
873,2679,2000
874,2680,2000
875,2681,1500
876,2682,1000
877,2683,1000
878,2690,1000
879,2691,0
880,2696,2000
881,2697,2000
882,2700,2000
883,2701,2000
884,2706,2000
885,2707,2000
886,2708,1000
887,2709,2000
888,2712,1000
889,2713,2000
890,2720,2000
891,2721,2000
892,2722,1000
893,2723,2000
894,2730,2000
895,2731,2000
896,2732,2000
897,2733,2000
898,2738,2000
899,2739,2000
900,2748,1000
901,2749,2000
902,2764,2000
903,2765,2000
904,2766,2000
905,2767,2000
906,2776,2000
907,2777,2000
908,2782,2000
909,2783,1500
910,2788,2000
911,2789,2000
912,2802,1000
913,2803,2000
914,2810,1000
915,2811,2000
916,2818,2000
917,2819,0
918,2826,2000
919,2827,2000
920,2838,1000
921,2839,2000
922,2856,2000
923,2857,2000
924,2858,2000
925,2859,2000
926,2864,2000
927,2865,1000
928,2872,1000
929,2873,1000
930,2878,2000
931,2879,2000
932,2894,2000
933,2895,0
934,2904,2000
935,2905,2000
936,2906,2000
937,2907,2000
938,2914,2000
939,2915,1000
940,2920,2000
941,2921,2000
942,2926,2000
943,2927,2000
944,2930,2000
945,2931,1000
946,2938,2000
947,2939,2000
948,2944,2000
949,2945,2000
950,2948,2000
951,2949,2000
952,2952,2000
953,2953,2000
954,2954,2000
955,2955,1500
956,2956,2000
957,2957,2000
958,2958,1000
959,2959,0
960,2962,1000
961,2963,0
962,2970,2000
963,2971,2000
964,2972,2000
965,2973,1500
966,2974,2000
967,2975,2000
968,2976,2000
969,2977,2000
970,2982,2000
971,2983,2000
972,2984,2000
973,2985,2000
974,2990,2000
975,2991,2000
976,2992,2000
977,2993,2000
978,2996,2000
979,2997,1000
980,3012,2000
981,3013,1000
982,3014,2000
983,3015,1000
984,3018,2000
985,3019,2000
986,3034,2000
987,3035,0
988,3048,2000
989,3049,2000
990,3062,1000
991,3063,1000
992,3076,2000
993,3077,1500
994,3080,2000
995,3081,2000
996,3086,2000
997,3087,2000
998,3094,2000
999,3095,2000
1000,3096,2000
1001,3097,1500
1002,3114,2000
1003,3115,2000
1004,3120,1000
1005,3121,2000
1006,3122,2000
1007,3123,2000
1008,3124,2000
1009,3125,2000
1010,3126,2000
1011,3127,2000
1012,3144,2000
1013,3145,1000
1014,3148,2000
1015,3149,2000
1016,3160,2000
1017,3161,2000
1018,3162,2000
1019,3163,2000
1020,3164,2000
1021,3165,2000
1022,3180,2000
1023,3181,2000
1024,3188,2000
1025,3189,2000
1026,3196,2000
1027,3197,1000
1028,3198,1000
1029,3199,2000
1030,3206,2000
1031,3207,2000
1032,3220,2000
1033,3221,1500
1034,3224,1000
1035,3225,2000
1036,3226,2000
1037,3227,2000
1038,3228,2000
1039,3229,2000
1040,3232,2000
1041,3233,2000
1042,3238,2000
1043,3239,1000
1044,3240,2000
1045,3241,1000
1046,3244,1000
1047,3245,2000
1048,3246,2000
1049,3247,2000
1050,3250,2000
1051,3251,1000
1052,3254,2000
1053,3255,1000
1054,3256,2000
1055,3257,2000
1056,3260,2000
1057,3261,1000
1058,3264,2000
1059,3265,1000
1060,3270,2000
1061,3271,1000
1062,3274,2000
1063,3275,0
1064,3284,2000
1065,3285,2000
1066,3286,1500
1067,3287,1000
1068,3292,2000
1069,3293,2000
1070,3298,2000
1071,3299,1000
1072,3300,1500
1073,3301,2000
1074,3302,2000
1075,3303,1000
1076,3304,2000
1077,3305,2000
1078,3312,2000
1079,3313,1000
1080,3316,2000
1081,3317,1000
1082,3318,2000
1083,3319,1000
1084,3322,2000
1085,3323,2000
1086,3326,2000
1087,3327,2000
1088,3328,2000
1089,3329,1000
1090,3340,2000
1091,3341,0
1092,3344,2000
1093,3345,2000
1094,3348,2000
1095,3349,1000
1096,3352,2000
1097,3353,2000
1098,3358,2000
1099,3359,1000
1100,3362,1500
1101,3363,1500
1102,3364,1000
1103,3365,2000
1104,3372,2000
1105,3373,2000
1106,3376,1500
1107,3377,1000
1108,3378,2000
1109,3379,1000
1110,3380,2000
1111,3381,2000
1112,3382,2000
1113,3383,1000
1114,3384,2000
1115,3385,1000
1116,3388,2000
1117,3389,1000
1118,3390,2000
1119,3391,2000
1120,3394,2000
1121,3395,2000
1122,3402,2000
1123,3403,2000
1124,3404,1000
1125,3405,1000
1126,3406,1000
1127,3407,1000
1128,3412,2000
1129,3413,2000
1130,3418,2000
1131,3419,2000
1132,3420,2000
1133,3421,1000
1134,3426,2000
1135,3427,1000
1136,3430,1000
1137,3431,1000
1138,3436,1000
1139,3437,2000
1140,3448,2000
1141,3449,1000
1142,3450,2000
1143,3451,1000
1144,3456,1000
1145,3457,1000
1146,3458,2000
1147,3459,1000
1148,3460,2000
1149,3461,2000
1150,3462,2000
1151,3463,1000
1152,3488,2000
1153,3489,2000
1154,3490,2000
1155,3491,2000
1156,3500,1500
1157,3501,1000
1158,3510,2000
1159,3511,1000
1160,3516,2000
1161,3517,1000
1162,3518,0
1163,3519,2000
1164,3520,2000
1165,3521,1000
1166,3530,2000
1167,3531,2000
1168,3532,2000
1169,3533,1000
1170,3534,2000
1171,3535,2000
1172,3538,2000
1173,3539,2000
1174,3540,2000
1175,3541,1000
1176,3546,2000
1177,3547,2000
1178,3556,2000
1179,3557,1000
1180,3568,2000
1181,3569,2000
1182,3576,1000
1183,3577,1000
1184,3578,2000
1185,3579,1000
1186,3580,1000
1187,3581,0
1188,3588,2000
1189,3589,1000
1190,3590,2000
1191,3591,1500
1192,3596,2000
1193,3597,2000
1194,3598,2000
1195,3599,0
1196,3602,1500
1197,3603,1000
1198,3604,1000
1199,3605,0
1200,3614,1000
1201,3615,1000
1202,3624,2000
1203,3625,1000
1204,3628,2000
1205,3629,1000
1206,3632,2000
1207,3633,2000
1208,3640,2000
1209,3641,1000
1210,3642,1500
1211,3643,1000
1212,3644,2000
1213,3645,0
1214,3652,2000
1215,3653,2000
1216,3656,2000
1217,3657,2000
1218,3658,2000
1219,3659,2000
1220,3666,2000
1221,3667,1000
1222,3668,2000
1223,3669,2000
1224,3682,1000
1225,3683,0
1226,3686,2000
1227,3687,1000
1228,3692,1000
1229,3693,1000
1230,3696,2000
1231,3697,2000
1232,3700,2000
1233,3701,1000
1234,3702,0
1235,3703,1000
1236,3704,2000
1237,3705,1000
1238,3706,1000
1239,3707,1000
1240,3708,2000
1241,3709,1000
1242,3710,2000
1243,3711,1000
1244,3712,2000
1245,3713,2000
1246,3726,2000
1247,3727,1000
1248,3738,2000
1249,3739,1000
1250,3750,2000
1251,3751,1000
1252,3754,2000
1253,3755,1000
1254,3766,2000
1255,3767,1000
1256,3772,0
1257,3773,2000
1258,3774,1000
1259,3775,2000
1260,3776,2000
1261,3777,2000
1262,3778,1000
1263,3779,1000
1264,3786,1000
1265,3787,2000
1266,3808,2000
1267,3809,2000
1268,3816,2000
1269,3817,2000
1270,3818,0
1271,3819,1000
1272,3822,0
1273,3823,1000
1274,3824,2000
1275,3825,1000
1276,3826,1000
1277,3827,1000
1278,3832,2000
1279,3833,2000
1280,3846,2000
1281,3847,1000
1282,3850,2000
1283,3851,1000
1284,3852,2000
1285,3853,2000
1286,3860,1000
1287,3861,2000
1288,3862,2000
1289,3863,2000
1290,3872,2000
1291,3873,1000
1292,3874,1000
1293,3875,1000
1294,3876,2000
1295,3877,2000
1296,3882,2000
1297,3883,1500
1298,3892,2000
1299,3893,1000
1300,3896,2000
1301,3897,2000
1302,3902,2000
1303,3903,2000
1304,3914,2000
1305,3915,2000
1306,3918,2000
1307,3919,1000
1308,3922,2000
1309,3923,2000
1310,3946,2000
1311,3947,1500
1312,3954,2000
1313,3955,2000
1314,3958,2000
1315,3959,2000
1316,3962,1000
1317,3963,1000
1318,3964,1000
1319,3965,2000
1320,3968,2000
1321,3969,1500
1322,3980,2000
1323,3981,2000
1324,3986,2000
1325,3987,2000
1326,3988,1000
1327,3989,1000
1328,3990,2000
1329,3991,2000
1330,3998,2000
1331,3999,1000
1332,4014,1000
1333,4015,2000
1334,4022,2000
1335,4023,2000
1336,4030,1000
1337,4031,1000
1338,4032,2000
1339,4033,2000
1340,4040,1000
1341,4041,1000
1342,4052,2000
1343,4053,1500
1344,4068,2000
1345,4069,2000
1346,4070,2000
1347,4071,2000
1348,4072,2000
1349,4073,2000
1350,4074,1000
1351,4075,2000
1352,4084,2000
1353,4085,2000
1354,4092,1000
1355,4093,1000
1356,4106,2000
1357,4107,2000
1358,4116,2000
1359,4117,2000
1360,4122,2000
1361,4123,2000
1362,4132,2000
1363,4133,2000
1364,4136,2000
1365,4137,2000
1366,4140,2000
1367,4141,2000
1368,4142,2000
1369,4143,2000
1370,4160,2000
1371,4161,2000
1372,4164,2000
1373,4165,1000
1374,4176,2000
1375,4177,2000
1376,4182,2000
1377,4183,2000
1378,4186,2000
1379,4187,2000
1380,4188,2000
1381,4189,2000
1382,4190,1000
1383,4191,1000
1384,4194,2000
1385,4195,2000
1386,4198,1000
1387,4199,1000
1388,4202,2000
1389,4203,2000
1390,4230,1000
1391,4231,2000
1392,4238,1000
1393,4239,2000
1394,4242,2000
1395,4243,2000
1396,4244,2000
1397,4245,1000
1398,4246,2000
1399,4247,2000
1400,4248,2000
1401,4249,2000
1402,4250,2000
1403,4251,1000
1404,4254,2000
1405,4255,1000
1406,4258,2000
1407,4259,1000
1408,4264,2000
1409,4265,2000
1410,4268,1000
1411,4269,2000
1412,4274,2000
1413,4275,2000
1414,4282,1000
1415,4283,2000
1416,4298,2000
1417,4299,1000
1418,4306,2000
1419,4307,2000
1420,4308,2000
1421,4309,2000
1422,4320,2000
1423,4321,2000
1424,4322,2000
1425,4323,2000
1426,4324,2000
1427,4325,2000
1428,4336,2000
1429,4337,2000
1430,4344,1000
1431,4345,1000
1432,4350,2000
1433,4351,2000
1434,4354,2000
1435,4355,2000
1436,4356,2000
1437,4357,1000
1438,4364,2000
1439,4365,2000
1440,4380,2000
1441,4381,2000
1442,4386,2000
1443,4387,1500
1444,4390,2000
1445,4391,2000
1446,4396,2000
1447,4397,2000
1448,4398,1000
1449,4399,2000
1450,4400,2000
1451,4401,2000
1452,4402,2000
1453,4403,2000
1454,4408,2000
1455,4409,1000
1456,4410,2000
1457,4411,2000
1458,4416,1000
1459,4417,1000
1460,4418,2000
1461,4419,2000
1462,4422,0
1463,4423,2000
1464,4426,2000
1465,4427,2000
1466,4434,2000
1467,4435,2000
1468,4452,1000
1469,4453,2000
1470,4454,1000
1471,4455,2000
1472,4460,2000
1473,4461,2000
1474,4464,2000
1475,4465,2000
1476,4472,2000
1477,4473,2000
1478,4476,1000
1479,4477,1000
1480,4480,2000
1481,4481,2000
1482,4484,1000
1483,4485,2000
1484,4488,2000
1485,4489,2000
1486,4496,2000
1487,4497,2000
1488,4512,1000
1489,4513,1000
1490,4528,1000
1491,4529,2000
1492,4544,1000
1493,4545,1000
1494,4548,2000
1495,4549,2000
1496,4550,2000
1497,4551,2000
1498,4552,1000
1499,4553,1000
1500,4564,2000
1501,4565,1000
1502,4576,1000
1503,4577,2000
1504,4578,2000
1505,4579,2000
1506,4584,2000
1507,4585,1500
1508,4594,2000
1509,4595,2000
1510,4596,2000
1511,4597,2000
1512,4604,2000
1513,4605,1000
1514,4606,2000
1515,4607,1000
1516,4608,0
1517,4609,2000
1518,4610,2000
1519,4611,2000
1520,4612,2000
1521,4613,2000
1522,4614,2000
1523,4615,2000
1524,4616,1000
1525,4617,2000
1526,4618,2000
1527,4619,1000
1528,4626,2000
1529,4627,2000
1530,4636,2000
1531,4637,0
1532,4654,2000
1533,4655,2000
1534,4668,1000
1535,4669,0
1536,4674,2000
1537,4675,2000
1538,4676,1500
1539,4677,1500
1540,4680,2000
1541,4681,0
1542,4682,2000
1543,4683,2000
1544,4688,2000
1545,4689,2000
1546,4690,2000
1547,4691,1000
1548,4694,2000
1549,4695,2000
1550,4696,2000
1551,4697,1000
1552,4698,2000
1553,4699,1000
1554,4700,2000
1555,4701,1500
1556,4702,2000
1557,4703,1000
1558,4704,2000
1559,4705,2000
1560,4710,2000
1561,4711,2000
1562,4712,2000
1563,4713,2000
1564,4714,2000
1565,4715,2000
1566,4718,2000
1567,4719,2000
1568,4730,2000
1569,4731,2000
1570,4742,2000
1571,4743,1000
1572,4746,2000
1573,4747,2000
1574,4748,2000
1575,4749,1000
1576,4752,2000
1577,4753,0
1578,4766,2000
1579,4767,1000
1580,4776,2000
1581,4777,2000
1582,4778,1000
1583,4779,1000
1584,4780,2000
1585,4781,1000
1586,4788,2000
1587,4789,2000
1588,4796,2000
1589,4797,2000
1590,4798,2000
1591,4799,1000
1592,4800,2000
1593,4801,2000
1594,4802,2000
1595,4803,2000
1596,4818,2000
1597,4819,2000
1598,4822,2000
1599,4823,2000
1600,4826,2000
1601,4827,2000
1602,4828,2000
1603,4829,2000
1604,4836,1000
1605,4837,1000
1606,4846,2000
1607,4847,2000
1608,4860,2000
1609,4861,1500
1610,4864,2000
1611,4865,2000
1612,4866,1000
1613,4867,1000
1614,4876,2000
1615,4877,1000
1616,4880,2000
1617,4881,2000
1618,4882,2000
1619,4883,2000
1620,4888,1000
1621,4889,1000
1622,4910,2000
1623,4911,2000
1624,4912,1500
1625,4913,2000
1626,4916,2000
1627,4917,2000
1628,4918,1000
1629,4919,2000
1630,4922,2000
1631,4923,2000
1632,4924,2000
1633,4925,2000
1634,4926,2000
1635,4927,2000
1636,4928,2000
1637,4929,2000
1638,4936,2000
1639,4937,2000
1640,4938,2000
1641,4939,2000
1642,4940,2000
1643,4941,2000
1644,4946,2000
1645,4947,2000
1646,4948,2000
1647,4949,1000
1648,4956,2000
1649,4957,1000
1650,4958,2000
1651,4959,2000
1652,4960,1000
1653,4961,1000
1654,4966,2000
1655,4967,2000
1656,4968,1000
1657,4969,1000
1658,4970,2000
1659,4971,2000
1660,4984,2000
1661,4985,2000
1662,4990,2000
1663,4991,2000
1664,4996,1000
1665,4997,2000
1666,5004,2000
1667,5005,2000
1668,5012,2000
1669,5013,2000
1670,5014,2000
1671,5015,1000
1672,5016,2000
1673,5017,2000
1674,5022,2000
1675,5023,1500
1676,5026,2000
1677,5027,2000
1678,5034,2000
1679,5035,2000
1680,5056,2000
1681,5057,1000
1682,5066,2000
1683,5067,2000
1684,5068,2000
1685,5069,2000
1686,5072,1500
1687,5073,1000
1688,5078,2000
1689,5079,2000
1690,5086,1000
1691,5087,1000
1692,5090,1000
1693,5091,2000
1694,5094,2000
1695,5095,1000
1696,5098,2000
1697,5099,1000
1698,5102,2000
1699,5103,1000
1700,5114,2000
1701,5115,1000
1702,5118,1000
1703,5119,2000
1704,5120,1000
